"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"MRVL","Marvell Technology Group Ltd.","24.94","$16.49B","2000","Technology","Semiconductors","https://www.nasdaq.com/symbol/mrvl",
"MASI","Masimo Corporation","151.25","$8.07B","2007","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/masi",
"MCFT","MasterCraft Boat Holdings, Inc.","14.08","$263.64M","2015","Capital Goods","Marine Transportation","https://www.nasdaq.com/symbol/mcft",
"MTCH","Match Group, Inc.","84.51","$23.75B","2015","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/mtch",
"MTLS","Materialise NV","17.93","$948.33M","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/mtls",
"MTRX","Matrix Service Company","19.31","$517.65M","1990","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/mtrx",
"MAT","Mattel, Inc.","10.73","$3.71B","n/a","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/mat",
"MATW","Matthews International Corporation","31.04","$977.4M","1994","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/matw",
"MXIM","Maxim Integrated Products, Inc.","54.11","$14.74B","1988","Technology","Semiconductors","https://www.nasdaq.com/symbol/mxim",
"MGRC","McGrath RentCorp","66.1","$1.6B","1984","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/mgrc",
"MDCA","MDC Partners Inc.","2.27","$163.32M","n/a","Technology","Advertising","https://www.nasdaq.com/symbol/mdca",
"MDJH","MDJM LTD","2.83","$32.89M","2019","Finance","Real Estate","https://www.nasdaq.com/symbol/mdjh",
"MDRR","Medalist Diversified REIT, Inc.","4.3187","$19.37M","2018","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/mdrr",
"MFIN","Medallion Financial Corp.","4.45","$109.51M","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/mfin",
"MFINL","Medallion Financial Corp.","25.9095","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/mfinl",
"MNOV","MediciNova, Inc.","8.37","$361.99M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/mnov",
